"TotalFunctionOccurences","3619"
"TopFunctions","[(""empty"",1440),(""para"",230),(""mkT"",104),(""everywhere"",93),(""toConstr"",84),(""transform"",82),(""gmapQ"",73),(""dataTypeOf"",69),(""mkTyCon"",64),(""mkTyConApp"",64),(""children"",62),(""left"",62),(""everything"",59),(""universeBi"",58),(""somewhere"",48),(""right"",47),(""transformBi"",47),(""up"",47),(""mkConstr"",41),(""down"",38),(""universe"",38),(""constrs"",32),(""fromConstr"",27),(""rewrite"",27),(""constrIndex"",26),(""mkM"",26),(""showConstr"",26),(""descendM"",24),(""descend"",23),(""mkQ"",23),(""gshow"",21),(""everywhereM"",20),(""mkDataType"",20),(""plate"",20),(""listify"",18),(""splitTyConApp"",17),(""everywhere'"",16),(""fromConstrM"",16),(""transformM"",16),(""constrFields"",15),(""gmapM"",15),(""indexConstr"",15),(""childrenBi"",13),(""typeRepTyCon"",13),(""everythingBut"",12),(""isAlgType"",12),(""dataTypeConstrs"",11),(""dataTypeName"",11),(""gread"",11),(""dataTypeRep"",10),(""gmapT"",10),(""geq"",9),(""gzip"",9),(""readConstr"",9),(""fromConstrB"",8),(""glength"",8),(""uniplate"",8),(""transformer"",7),(""descendBi"",6),(""gcount"",6),(""gfoldlAccum"",6),(""constrRep"",5),(""gmapQi"",5),(""gmapQr"",5),(""gshows"",5),(""gzipWithQ"",5),(""maxConstrIndex"",5),(""gfoldl"",4),(""gmapAccumQ"",4),(""hole"",4),(""tyConString"",4),(""tyconUQname"",4),(""typeRepArgs"",4),(""biplate"",3),(""composOp"",3),(""composOpM"",3),(""dataCast2"",3),(""extM"",3),(""extT"",3),(""fromZipper"",3),(""gmapAccumM"",3),(""gmapMo"",3),(""gmapMp"",3),(""holes"",3),(""mkFunTy"",3),(""mkIntegralConstr"",3),(""orElse"",3),(""tyconModule"",3),(""constrType"",2),(""contexts"",2),(""extR"",2),(""gmapAccumT"",2),(""gmapQl"",2),(""gunfold"",2),(""gzipWithM"",2),(""mkCharConstr"",2),(""mkMp"",2),(""mkNoRepType"",2),(""repConstr"",2),(""rewriteBi"",2),(""showsTypeRep"",2),(""composOpFold"",1),(""constrFixity"",1),(""dataCast1"",1),(""everywhereBut"",1),(""ext1"",1),(""extQ"",1),(""gdepth"",1),(""gfindtype"",1),(""gmapAccumA"",1),(""gmapAccumQr"",1),(""gsize"",1),(""gzipWithT"",1),(""mkAppTy"",1),(""mkIntType"",1),(""mkNorepType"",1),(""mkR"",1),(""mkTyCon3"",1),(""something"",1),(""synthesize"",1),(""transformBiM"",1),(""transformBis"",1),(""typeOfDefault"",1)]"
"Transformation/QueryRatio","1.5219123505976095"
