"TotalFunctionOccurences","2578"
"TopFunctions","[(""empty"",1102),(""mkT"",83),(""transform"",73),(""everywhere"",69),(""mkTyCon"",62),(""mkTyConApp"",61),(""children"",57),(""transformBi"",55),(""left"",51),(""somewhere"",45),(""universeBi"",45),(""dataTypeOf"",40),(""everything"",40),(""mkConstr"",40),(""up"",40),(""right"",38),(""down"",36),(""toConstr"",36),(""universe"",36),(""constrs"",32),(""gmapQ"",28),(""rewrite"",28),(""constrIndex"",22),(""descendM"",22),(""para"",22),(""mkDataType"",19),(""descend"",18),(""plate"",17),(""splitTyConApp"",16),(""mkM"",15),(""listify"",14),(""mkQ"",14),(""everywhere'"",13),(""fromConstr"",13),(""everythingBut"",12),(""holes"",12),(""showConstr"",12),(""childrenBi"",11),(""indexConstr"",11),(""fromConstrM"",10),(""gmapM"",10),(""constrFields"",9),(""gshow"",9),(""transformM"",9),(""dataTypeRep"",8),(""everywhereM"",8),(""gmapT"",8),(""uniplate"",8),(""composOpM"",7),(""dataTypeName"",7),(""typeRepTyCon"",7),(""constrRep"",5),(""descendBi"",5),(""fromConstrB"",5),(""gmapQr"",5),(""composOp"",4),(""composOpM_"",4),(""gzip"",4),(""hole"",4),(""isAlgType"",4),(""readConstr"",4),(""tyConString"",4),(""typeRepArgs"",4),(""biplate"",3),(""fromZipper"",3),(""glength"",3),(""gmapQi"",3),(""gread"",3),(""transformer"",3),(""constrType"",2),(""dataTypeConstrs"",2),(""extR"",2),(""geq"",2),(""gmapQl"",2),(""maxConstrIndex"",2),(""mkFunTy"",2),(""orElse"",2),(""repConstr"",2),(""rewriteBi"",2),(""showsTypeRep"",2),(""composOpFold"",1),(""constrFixity"",1),(""contexts"",1),(""dataCast2"",1),(""ext1"",1),(""extQ"",1),(""extT"",1),(""gcount"",1),(""gfindtype"",1),(""gfoldl"",1),(""gmapMo"",1),(""gmapMp"",1),(""gunfold"",1),(""gzipWithM"",1),(""gzipWithQ"",1),(""gzipWithT"",1),(""mkAppTy"",1),(""mkCharConstr"",1),(""mkIntType"",1),(""mkIntegralConstr"",1),(""mkNoRepType"",1),(""mkNorepType"",1),(""mkR"",1),(""mkTyCon3"",1),(""tyconModule"",1),(""typeOfDefault"",1)]"
"Transformation/QueryRatio","1.9079754601226995"
