"HackageArchiveCloneTime","Wed May 16 08:44:48 UTC 2012"
"YearlyUpdatesToPackagesUsingSyb","[(2006,1),(2007,4),(2008,63),(2009,134),(2010,137),(2011,268),(2012,163)]"
"YearlyUpdatesToPackagesUsingUniplate","[(2007,2),(2008,21),(2009,50),(2010,41),(2011,67),(2012,59)]"
"YearlyNewPackagesUsingSyb","[(2006,1),(2007,3),(2008,17),(2009,18),(2010,29),(2011,28),(2012,13)]"
"YearlyNewPackagesUsingUniplate","[(2007,2),(2008,3),(2009,9),(2010,4),(2011,7),(2012,11)]"
